%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Encoding check:
%%   ä  ö  ü  Ä  Ö  Ü  ß  á  é  í  ó  ú  à  è  ì  ò  ù  â  ê  î  ô  û
%%
%%   If the above contains rubbish, please re-open this file using
%%   the CORRECT encoding.  By default this is UTF-8.
%%   DO NOT save the file in this case!
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% %%%	%%%	%%%
% key	eng	ger
% %%%	%%%	%%%
%
%
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% NOTE: Please include the key-eng-ger tripplet at the right place.
%       meaning: putting it under 'Adresses', 'Organisations',
%       'Universites, Schools', 'Departments, Institutes, Groups',
%       'Types of TechReports', or 'misc' AND set the line
%       in lexicographical order.
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% NOTE: Avoid empty lines! Always put a % in front of empty lines
%       or comments.
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
%
% %%%%%
% Month
% %%%%%
jan	January	Januar
org-senozon	senozon	senozon
org-ser	Swiss State Secretariat for Education and Research	Schweizerisches Staatssekretariat für Bildung und Forschung
org-sfsb	Senatsverwaltung für Stadtentwicklung Berlin	Senatsverwaltung für Stadtentwicklung Berlin
org-siam	Society for Industrial and Applied Mathematics (SIAM)	Society for Industrial and Applied Mathematics (SIAM)
org-sigma	Sigmaplan	Sigmaplan
org-significance	Significance	Significance
org-slab	Statistisches Landesamt Berlin	Statistisches Landesamt Berlin
org-snf	Swiss National Science Foundation (SNSF)	Schweizer Nationalfond (SNF)
org-ssz	Statistics Zurich City	Statistik Stadt Zürich
org-stapozh	Zurich Police Departement	Stadtpolizei Zürich
org-svi	Swiss Association of Transportation Engineers and Experts (SVI)	Schweizerische Vereinigung der Verkehrsingenieure und Verkehrsexperten (SVI)
org-sw	Spiekermann \& Wegener Stadt und Regionalforschung
org-swissoil	Erdöl Vereinigung Schweiz	Erdöl Vereinigung Schweiz
org-swisstopo	Federal Office of Topography swisstopo	Bundesamt für Landestopografie swisstopo
org-t2m	International Association for the History of Transport, Traffic and Mobility	International Association for the History of Transport, Traffic and Mobility
org-tc	Transport Canada	Transport Canada
org-tci	TCI Roehling – Transport Consulting International 	TCI Roehling – Transport Consulting International 
org-tcs	Touring Club Switzerland	Touring Club Schweiz
org-tdot	Texas Department of Transportation	Texas Department of Transportation
org-ti	Tinbergen Institute Amsterdam	Tinbergen Institute Amsterdam
org-tmip	Travel Model Improvement Program	Travel Model Improvement Program
org-tns	TNS Infratest	TNS Infratest
org-tlf	Transport for London	Transport for London
org-transsol	TransSol	TransSol
org-transoptima	TransOptima	TransOptima
org-trb	Transportation Research Board	Transportation Research Board
org-trl	Transport and Road Research Laboratory	Transport and Road Research Laboratory
org-ukerc	UK Energy Research Centre Transport	UK Energy Research Centre Transport
org-uvek	Swiss Federal Department for Environment, Transport, Energy and Communication	Departement für Umwelt, Verkehr, Energie und Kommunikation
org-vaegv	Vaegverket	Vägverket
org-vdv	Verband Deutscher Verkehrsunternehmen (VDV)	Verband Deutscher Verkehrsunternehmen (VDV)
org-vldb	Conference on Very Large Data Bases (VLDB)		Conference on Very Large Data Bases (VLDB)
org-vss	Swiss Association of Road and Transport Professionals (VSS)	Schweizerischer Verband der Strassen- und Verkehrsfachleute
org-vw	VW AG, Wolfsburg	VW AG, Wolfsburg
org-w3c	World Wide Web Consortium (W3C)	World Wide Web Consortium (W3C)
org-wb	World Bank	World Bank
org-wcica	World Congress on Intelligent Control and Automation (WCICA)	World Congress on Intelligent Control and Automation (WCICA)
org-wctrs	World Conference on Transport Research Society (WCTRS)	World Conference on Transport Research Society (WCTRS)
org-who	World Health Organisation	Weltgesundheitsorganisation
org-wuestpartner	Wüest \&  Partner AG	Wüest \& Partner AG
org-wvi	Wermuth Verkehrsforschung und Infrastrukturplanung GmbH	Wermuth Verkehrsforschung und Infrastrukturplanung GmbH
org-un	United Nations	Vereinte Nationen
org-undesa	United Nations Department of Economic and Social Affairs	Vereinte Nationen
org-unfcc	United Nations Framework Convention on Climate Change	United Nations Framework Convention on Climate Change
org-unfpa	United Nations Populations Funds	United Nations Populations Funds
org-ura	Urban Redevelopement Authority	Urban Redevelopement Authority
org-usdoc	U.S. Department of Commerce		U.S. Department of Commerce
org-usdot	U.S. Department of Transportation	U.S. Department of Transportation
org-usepa	U.S. Environmental Protection Agency	U.S. Environmental Protection Agency
org-usnsf	National Science Foundation (USA)	National Science Foundation (USA)
%
% %%%%%%%%%%%%%%%%%%%%
% Universities, Schools
% %%%%%%%%%%%%%%%%%%%%
school-trail	The Netherlands TRAIL Research School	The Netherlands TRAIL Research School
sec	Singapore-ETH Centre (SEC)	Singapore-ETH Centre (SEC)
uni-andes	University of The Andes	University of The Andes
uni-asu	Arizona State University	Arizona State University
uni-avignon	University of Avignon	University of Avignon
uni-badhonnef	International University of Applied Sciences Bad Honnef-Bonn	Internationale Fachhochschule Bad Honnef-Bonn
uni-bamberg	University of Bamberg	Otto-Friedrich University Bamberg
uni-barcelona	University of Barcelona	University of Barcelona
uni-basel	University of Basel	Universität Basel
uni-bern	University of Bern	Universität Bern
uni-boku	University of Natural Resources and Life Sciences, Vienna	Universität für Bodenkultur Wien
uni-boston-college	Boston College	Boston College
uni-brandeis	Brandeis University	Brandeis University
uni-brown	Brown University	Brown University
uni-ca	University of California	University of California
uni-cmu	Carnegie Mellon University	Carnegie Mellon University
uni-columbia	University of Columbia	University of Columbia
uni-cergypontoise	University of Cergy-Pontoise	University of Cergy-Pontoise
uni-delaware	University of Delaware	University of Delaware
uni-delft	Delft University of Technology	Delft University of Technology
uni-denmark	Technical University of Denmark	Technische Universität Dänemark
uni-eiabc	Ethiopian Institute of Architecture, Building Construction and City Development	Ethiopian Institute of Architecture, Building Construction and City Development
uni-epfl	EPF Lausanne	EPF Lausanne
uni-ethz	ETH Zurich	ETH Zürich
uni-fub	Free University of Berlin	Freie Universität Berlin
uni-fl	University of Florida	University of Florida
uni-georgiatec	Georgia Institute of Technology	Georgia Institute of Technology
uni-ghent	Ghent University	Universiteit Gent
uni-han	Leibnitz University Hannover	Leibnitz Universität Hannover
uni-has	Hasselt University	Universität Hasselt
uni-heg	Geneva School of Business Administration	Haute école de gestion de Genève
uni-hsg	University of St.Gallen (HSG)	Universität St.Gallen (HSG)
uni-illinois	University of Illinois	University of Illinois
uni-imp	Imperial College London	Imperial College London
uni-fhsg	FHS St.Gallen	FHS St.Gallen
uni-geneve	University of Geneva	Universität Genf
uni-graz	University of Graz	Universität Graz
uni-hasselt	Universiteit Hasselt	Universiteit Hasselt
uni-innsbruck	University of Innsbruck	Leopold-Franzens-Universität, Innsbruck
uni-jonkoping	Jønkøping University	Universität Jønkøping
uni-jyv	University of Jyväskylä	Universität Jyväskylä
uni-karlsruhe	University of Karlsruhe	Universität Karlsruhe
uni-koeln	University of Cologne	Universität zu Köln
uni-kth	Royal Institute of Technology	Royal Institute of Technology
uni-lancaster	University of Lancaster	University of Lancaster
uni-lausanne	University of Lausanne	Université de Lausanne
uni-leeds	University of Leeds	Universität Leeds
uni-lse	London School of Economics	London School of Economics
uni-liverpool	University of Liverpool	University of Liverpool
uni-lugano	University of Lugano	Universität della Svizzera italiana
uni-lund	The Royal University of Lund	The Royal University of Lund
uni-lyon	University of Lyon	Universität Lyon
uni-masaryk	Masaryk University 	Masaryk University 
uni-michigan	University of Michigan	University of Michigan
uni-min	University of Minnesota	University of Minnesota
uni-mit	Massachusetts Institute of Technology	Massachusetts Institute of Technology
uni-montreal	Université de Montréal	Université de Montréal
uni-muenchenbw	Bundeswehr University Munich	Universität der Bundeswehr München
uni-neworleans	University of New Orleans	University of New Orleans
uni-nus	National University of Singapore	National University of Singapore
uni-nw	Northwestern University	Northwestern University
uni-oldenburg	Carl von Ossietzky University Oldenburg	Carl von Ossietzky Universität Oldenburg
uni-oxford	University of Oxford	University of Oxford
uni-osnabrueck	University of Osnabrück	Universität Osnabrück
uni-pennsylvania	Pennsylvania State University	Pennsylvania State University
uni-pret	University of Pretoria	University of Pretoria
uni-rgu	Robert Gordon University	Robert Gordon University
uni-rice	Rice University	Rice University
uni-ryerson	Ryerson University	Ryerson University
uni-roma1	University of Rome La Sapienzia	Università degli studi di Roma La Sapienza
uni-ruhr	Ruhr University Bochum	Ruhr-Universität Bochum
uni-rwth	RWTH Aachen	RWTH Aachen
uni-sfl	University of South Florida	University of South Florida
uni-sg-sbblab	SBB Lab	SBB Lab
uni-smu	Singapore Management University	Singapore Management University
uni-sur	University of Surrey	University of Surrey
uni-stanford	Stanford University	Stanford University
uni-stuttgart	University of Stuttgart	Universität Stuttgart
uni-syd	University of Sydney	University of Sydney
uni-tcd	Trinity College Dublin	Trinity College Dublin
uni-texas	University of Texas	University of Texas
uni-texasAM 	Texas AM University	Texas AM University
uni-toronto	University of Toronto	University of Toronto
uni-tub	Technical University Berlin	Technische Universität Berlin
uni-tubr	Technical University Braunschweig	Technische Universität Braunschweig
uni-tud	Technical University Dresden	Technische Universität Dresden
uni-tudelft	Technical University Delft	Technische Universität Delft
uni-tudo	Technical University Dortmund	Technische Universität Dortmund
uni-tue	Technical University Eindhoven	Technische Universität Eindhoven
uni-tugraz	Technical University Graz	Technische Universität Graz
uni-tum	Technische Universität München	Technische Universität München
uni-ucl	University College London	University College London
uni-washington	University of Washington	University of Washington	
uni-wuppertal	University of Wuppertal	Bergische Unversität Wuppertal
uni-wue		University of Wuerzburg		Universität Würzburg
uni-ucsd	University of California San Diego	University of California San Diego
uni-uci	University of California Irvine	University of California Irvine
uni-une	University of New England	University of New England
uni-uta	University of Texas Austin	University of Texas Austin
uni-utc	Universit\'e de Technologie de Compi\`egne	Universit\'e de Technologie de Compi\`egne
uni-utr	University of Utrecht	University of Utrecht
uni-ve	University of Venice	University of Venice
uni-vpu	Virginia Polytechnic University	Virginia Polytechnic University  
uni-vu	Vrije University Amsterdam	Vrije Universität Amsterdam
uni-yale	Yale University	Yale University
uni-zh	University of Zurich	Universität Zürich
%
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% Departments, Institutes, Groups
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
infras	Institute for Economics amd Ecologics	Institut für Wirtschaft und Ökologie
nber	National Bureau of Economic Research	National Bureau of Economic Research
org-dlr-ivf	German Aerospace Centre, Institute of Transport Research	Deutsches Zentrum für Luft- und Raumfahrt, Institut für Verkehrsforschung
org-euc-jrc	Joint Research Centre	Joint Research Centre
org-fhwa-ohim	Office of Highway Policy Information	Office of Highway Policy Information
org-fhwa-ota	Office of Technology Applications	Office of Technology Applications
org-frau	Fraunhofer IAO-Institut für Arbeitswirtschaft und Organisation	Fraunhofer IAO-Institut für Arbeitswirtschaft und Organisation
org-ftk	FTK-Forschungsinstitut für Telekommunikation e.V.	FTK-Forschungsinstitut für Telekommunikation e.V.
org-ifmo		Institut für Mobilitätsforschung (ifmo)	Institut für Mobilitätsforschung (ifmo)
org-infas	infas Institute for Applied Social Sciences	infas Institut für angewandte Sozialwissenschaft
org-stapozh-dav	Traffic Division	Dienstabteilung Verkehr
org-un-isdr	International Strategy for Disaster Reduction 	International Strategy for Disaster Reduction 
org-usepa-orp	Office of Radiation Programs	Office of Radiation Programs
planco	Planco	Planco
sec-fcl	Future Cities Laboratory	Future Cities Laboratory
uni-asu-geo	GeoDa Center of Geospatial Analysis and Computation	GeoDa Center of Geospatial Analysis and Computation	
uni-bamberg-itp	Insitute for Theoretical Psychology	Institute für Theoretische Psychologie
uni-berkeley	University of California, Berkeley	University of California, Berkeley
uni-berkeley-its	Institute of Transportation Studies (ITS)	Institute of Transportation Studies (ITS)
uni-berkeley-path	California Partners for Advanced Transportation TecHnology (PATH)	California Partners for Advanced Transportation TecHnology (PATH)
uni-buffalo	State University of New York at Buffalo	State University of New York at Buffalo
uni-ca-its	Institute of Transportation Studies	Institute of Transportation Studies
uni-chalmers	Chalmers University	Chalmers University
uni-cmu-tsb	Tepper School of Business	Tepper School of Business
uni-denmark-tra	Department of Transport	Departement für Transport
uni-dtu-dtri	Danish Transport Research Institute	Danish Transport Research Institute
uni-epfl-lasur	Laboratory for Urban Sociology	Laboratoire de Sociologie Urbaine
uni-epfl-lavoc	Traffic Facilities Laboratory (LAVOC)	Laboratoire des voies de circulation (LAVOC)
uni-epfl-lem	Logistics, Economics, Management (LEM)	Logistique, Economie, Management (LEM)
uni-epfl-litep	Laboratory for Intermodality, Transport and Planning (LITEP)	Laboratoire d'intermodalität des transports et de planification (LITEP)
uni-epfl-transpor	TRANSP-OR	TRANSP-OR
uni-ethz-fcl	Future Cities Laboratory	Future Cities Laboratory
uni-ethz-icos	ICoS	ICoS
uni-ethz-ifv	Institute for Behavioral Sciences	Institute für Verhaltenswissenschaften
uni-ethz-irl	Institute for Spatial and Landscape Planning 	Institut für Raum- und Landschaftsentwicklung
uni-ethz-ivt	IVT	IVT
uni-ethz-ti	Institute of Theoretical Computer Science	Institut für Theoretische Informatik
uni-ethz-nsl	NSL-Network City and Landscape	NSL-Netzwerk Stadt und Landschaft
org-fraun-iais	Fraunhofer Institute for Intelligent Analysis and Information Systems	Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme
uni-geneva-lea	Laboratoire d'Economie Appliquée	Laboratoire d'Economie Appliquée
uni-hasselt-ifm	Insituut voor Mobiliteit	Insituut voor Mobiliteit
uni-heg-crag	Centre de Recherche Appliquée en Gestion	Centre de Recherche Appliquée en Gestion
uni-hsg-svwg	Schweizerische Verkehrswissenschaftliche Gesellschaft (SVWG)	Schweizerische Verkehrswissenschaftliche Gesellschaft (SVWG)
uni-hsg-idt	Institut for Public Services and Tourism (IDT)	Institut für öffentliche Dienstleistungen und Tourismus (IDT)
uni-hsg-iwoe	Institut for Economy and the Environment	Institut für Wirtschaft und Ökologie
uni-karlsruhe-ifr	Institut für Regionalwissenschaft	Institut für Regionalwissenschaft
uni-karlsruhe-ifs	Institut für Soziologie	Institut für Soziologie
uni-karlsruhe-ifv	Institut für Verkehrswesen	Institut für Verkehrswesen
uni-karlsruhe-igg	Institut für Geographie und Geoökologie	Institut für Geographie und Geoökologie
uni-karlsruhe-iti	Institute of Theoretical Informatics	Institut für Theoretische Informatik
uni-karlsruhe-iww	Institut für Wirtschaftspolitik und Wirtschaftsforschung	Institut für Wirtschaftspolitik und Wirtschaftsforschung
uni-koeln-zaik	Centre for Applied Sciences	Zentrum für Angewandte Informatik
uni-koeln-ifv	Institut für Verkehrswissenschaft	Institut für Verkehrswissenschaft
uni-kth-cts	Centre for Transport Studies	Centre for Transport Studies
uni-kth-tla	Transport and Location Analysis	Transport and Location Analysis
uni-lausanne-idg	Institute of Geography	Institut de géographie
uni-leeds-its	Institute for Transport Studies	Institute for Transport Studies
uni-lund-geo	Department of Geography	Department of Geography
uni-lugano-ire	Institute for Economic Research (IRE)	Istituto Ricerche Economiche (IRE)
uni-lyon-let	Laboratoire d'Economie des Transports (LET)	Laboratoire d'Economie des Transports (LET)
uni-michigan-ioe	Department of Industrial and Operations Engineering	Department of Industrial and Operations Engineering
uni-mit-dcee	Department of Civil and Environmental Engineering	Department of Civil and Environmental Engineering
uni-mit-ml	The Media Laboratory	The Media Laboratory
uni-min-nexus	Networks, Economics, and Urban Systems (NEXUS) research group	Networks, Economics, and Urban Systems (NEXUS) research group
uni-montreal-inf	Département d'Informatique et de Recherche Opérationnelle	Département d'Informatique et de Recherche Opérationnelle
uni-montreal-trans	Center of Transportation Research	Center of Transportation Research
uni-muenchenbw-bwl	Departement of Business Economics	Fakultät für Betriebswirtschaft
uni-namur	Facultés Universitaires Notre-Dame de la Paix	Facultés Universitaires Notre-Dame de la Paix
uni-namur-grt	Groupe de Recherche sur les Transports	Groupe de Recherche sur les Transports
uni-namur-naxys	Centre Namurois des Systèmes Complexes (NAXYS)	Centre Namurois des Systèmes Complexes (NAXYS)
uni-neworleans-chart	Center for Hazards Assessment, Response \& Technology	Center for Hazards Assessment, Response \& Technology
uni-nus-ires	Institute of Real Estate Studies	Institute of Real Estate Studies
uni-nw-diems	Department of Industrial Engineering and Management Sciences	Department of Industrial Engineering and Management Sciences
uni-otago	University of Otago		University of Otago
uni-oxford-tsu	Transport Studies Unit	Transport Studies Unit
uni-pennsylvania-dcee	Department of Civil and Environmental Engineering	Department of Civil and Environmental Engineering
uni-pret-ebtit	Faculty of Engineering, Built Technology and Information Technology	Faculty of Engineering, Built Technology and Information Technology
uni-rgu-ctp	Centre for Transport Policy	Centre for Transport Policy
uni-rice-jhjgsm	Jesse H. Jones Graduate School of Management	Jones Graduate School of Management
uni-sfl-dcee	Department of Civil and Environmental Engineering	Department of Civil and Environmental Engineering
uni-rwth-isb	Institut für Stadtbauwesen und Strassenverkehr (ISB)	Institut für Stadtbauwesen und Strassenverkehr (ISB)
uni-smu-se	School of Economics	School of Economics
uni-sur-eprg	Environmental Psychology Research Group	Environmental Psychology Research Group
uni-syd-its	Institute of Transport Studies	Institute of Transport Studies
uni-stanford-jbeec	The John A. Blume Earthquake Engineering Center	The John A. Blume Earthquake Engineering Center
uni-stuttgart-iere	Institut für Energiewissenschaft und Rationelle Energieanwendung	Institut für Energiewissenschaft und Rationelle Energieanwendung
uni-texas-dce	Department of Civil Engineering	Department of Civil Engineering
uni-texas-ti	Texas Transportation Institute	Texas Transportation Institute
uni-toronto-dce	Department of Civil Engineering	Department of Civil Engineering
uni-tub-vsp	Transport Systems Planning and Transport Telematics (VSP)	Verkehrssystemplanung und Verkehrstelematik (VSP)
uni-tubr-ivs	Institute of Transportation and Urban Engineering (IVS)	Institut für Verkehr und Stadtbauwesen (IVS)
uni-tud-vkw	Institute for Transportation Planning and Traffic	Institut für Verkehrsplanung und Strassenverkehr
uni-tudelft-itp	Institute for Transport Planning	Intistute for Transport Planning
uni-tudo-irpud	Institute of Spatial Planning	Institut für Raumplanung
uni-tue-eirass	European Institute of Retailing and Services Studies (EIRASS)	European Institute of Retailing and Services Studies (EIRASS)
uni-tum-lre	Chair of Urban Development	Lehrstuhl für Raumentwicklung
uni-tum-lsr	Institute of Automatic Control Engineering	Lehrstuhl für Steuerungs- und Regelungstechnik
uni-tum-lvs	Institute of Transport and Urban Planning	Lehrstuhl für Verkehrs- und Stadtplanung
uni-uta-dcaee	Department of Civil, Architectural and Environmental Engineering	Department of Civil, Architectural and Environmental Engineering
uni-ucsd-cccsd	Cymer Center for Control Systems and Dynamics	Cymer Center for Control Systems and Dynamics
uni-wuppertal-luis	LUIS -- Lehr- und Forschungsgebiet Umweltverträgliche Infrastrukturplanung	LUIS -- Lehr- und Forschungsgebiet Umweltverträgliche Infrastrukturplanung
uni-washington-csss	Center for Statistics and the Social Sciences	Center for Statistics and the Social Sciences	
uni-yale-management	Yale School of Management	Yale School of Management
uni-zh-geo	Department of Geography	Department of Geography

%
% %%%%%%%%%%%%%%%%%%%%
% Types of TechReports
% %%%%%%%%%%%%%%%%%%%%
% PLEASE READ THAT:
% After some discussion with Nadine Schüssler, we believe that the following
% types of tech reports are sufficiant enough for what we need.
% If you want to add another one, please ask me before you do that.
% Normally there is no need to add more...sbb
%
% Term projects, semester projects, lecture scripts
% %%%%%%%%%%%%%%%%%%%%
rep-termrep	Term Report	Übungsbericht
rep-semprj	Semester Project	Semesterarbeit
rep-lecture	Lecture Notes	Vorlesungsskript
%
% Working papers, etc...
% %%%%%%%%%%%%%%%%%%%%
rep-techrep	Technical Report	Technischer Bericht
rep-specrep	Special Report	Special Report
rep-wp	Working Paper	Arbeitsbericht
rep-wp-svt	SVT Working Paper	SVT Arbeitsbericht
rep-wp-vpl	Arbeitsberichte Verkehrs- und Raumplanung	Arbeitsberichte Verkehrs- und Raumplanung
rep-tsms	Travel Survey Metadata Series	Travel Survey Metadata Series
rep-prelim	Preliminary Paper	Vorläufiger Bericht
rep-schriftenreihe	Schriftenreihe	Schriftenreihe
rep-norm	Norm	Norm
rep-deliv	Deliverable	Deliverable
%
% %%%%%%%%%%%%%%%%%%%%
% Types of ResearchReports
% %%%%%%%%%%%%%%%%%%%%
rep-projpro	Project Proposal	Projektantrag
rep-resrep	Research Report	Forschungsbericht
rep-interrep	Interim Report	Zwischenbericht
rep-finalrep	Final Report	Endbericht
%
% %%%%%%%%%%%%%%%%%%%%
% Types of Unpublished
% %%%%%%%%%%%%%%%%%%%%
unpub	unpublished	unveröffentlicht
unpub-intern	internal presentation	{Interner Vortrag}
unpub-pres	presentation	{Vortrag}
unpub-poster	poster presentation	{Poster Präsentation}
%
% %%%%%%%%%%%%%%%%%%%%
% HowPublished of misc
% %%%%%%%%%%%%%%%%%%%%
misc-onlinearticle	online article	Online Artikel
misc-onlinevideo	online video	Online Video
misc-webpage	webpage	Webseite
misc-software	software	Software
misc-broadcast	television broadcast	Fernsehsendung
misc-pressrelease	press release	Pressemitteilung
%
% %%%%%%%%%%%%%%%%%%%%
% forthcoming (TO USE FOR 'YEAR' ONLY)
% %%%%%%%%%%%%%%%%%%%%
forth	forthcoming	im Druck
% %%%%%%%%%%%%%%%%%%%%
% accessed-on (use for url)
% %%%%%%%%%%%%%%%%%%%%
accessed-on	accessed on	zuletzt abgefragt am
