% !TEX encoding = utf8
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Encoding check:
%%   ä  ö  ü  Ä  Ö  Ü  ß  á  é  í  ó  ú  à  è  ì  ò  ù  â  ê  î  ô  û
%%
%%   If the above contains rubbish, please re-open this file using
%%   the CORRECT encoding.  By default this is UTF-8.
%%   DO NOT save the file in this case!
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% author.txt:
%   Defines shortcuts for authors.
%   NOTE: NEVER use names for authors
%         in your BibTeX item! Always use the ones in here, or
%         add it if necessary.
%   NOTE: If you add a new shortcut, add it at the right place meaning
%         sorted lexicographially!
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% author names
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% A %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Aasa	Aasa, Anto
Ashiru	Ashiru, Olu
Asim	Asim, Ajaz
Assemi	Assemi, Behrang
Astarita	Astarita, V.
Astroza	Astroza, Sebastian
Atasoy	Atasoy, Bilge
Athuru	Athuru, Sudhakar R.
Atkinson	Atkinson, J. B.
Attanucci	Attanucci, John
AufderMaur	Auf der Maur, Alex
Auld	Auld, Joshua
Aultmann	Aultman-Hall, Lisa
AustinA	Austin, Andrea
Avineri	Avineri, Erel
Axelrod	Axelrod, Robert
Axhausen	Axhausen, Kay Werner
AxhausenKW	Axhausen, Kay W.
Axmark	Axmark, David
Ayed	Ayed, H.
Aytug	Aytug, Haldun
Azevedo	Azevedo, José Augusto
Aziz	Aziz, Zaheer

% B %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Baass	Baass, K.
Bachman	Bachman, William
Bachner	Bachner, Gerald
Bachrach	Bachrach, Christine A.
Back	Bäck, T.
Backstrom	Backstrom, Lars
Badia	Badia, H.
Badler	Badler, Norman I.
Badoe	Badoe, Daniel A.
Badsey-Ellis	Badsey-Ellis, Antony
Bae	Bae, Chang-Hee C.
Baehr	Bähr, Jürgen
Bafna	Bafna, Sonit
Bagchi	Bagchi, M.
Baggerly	Baggerly, Keith A.
Bagley	Bagley, Michael N.
Baier	Baier, Reinhold
Baker	Baker, Earl J.
BakerD	Baker, Dean
BakerJ	Baker, Julie
BakerP	Baker, Paul
Bakuli	Bakuli, David L.
Balac	Balac, Milos
Balakrishna	Balakrishna, Ramachandran
BalakrishnaR	Balakrishna, R.
Ballard	Ballard, Dana H.
Baldacci	Baldacci, Roberto
Balietti	Balietti, S.
Ball	Ball, Michael O.
Balmer	Balmer, Michael
Balmforth	Balmforth, P.
Baltas	Baltas, George
Bamberg	Bamberg, Sebastian
Bampi	Bampi, Sergio
Bandara	Bandara, Thusitha
Banerjee	Banerjee, Ipsita
Bang	Bang, Yoonsik
Banfi	Banfi, Silvia
Bankhoff	Bankhoff, Greg
Banks	Banks, J.
BanksCM	Banks, C. M.
BanksWE	Banks, W. E.
BarGera	Bar-Gera, Hillel
Barabasi	Barabási, Albert-László
Baranzini	Baranzini, Andrea
Barbeau	Barbeau, Sean J.
Barcelo	Barceló, J.
Barkema	Barkema, G. T.
Barker	Barker, T. G.
Barnard	Barnard, P. O.
Barnett	Barnett, Jonathan
Barnum	Barnum, H. Gardiner
Baro	Baro, J.
Barrett	Barrett, Chris L.
BarrettCL	Barrett, Christopher L.
BarrettF	Barrett, Frank
Barth	Barth, Matthew
Barthelemy	Barthélemy, Johan
BarthelemyM	Barthélemy, Marc
Barto	Barto, Andrew G.
Barton	Barton, Hugh
Basso	Basso, Leonardo J.
Bast	Bast, Hannah
Basturk	Basturk, Halil
Basu	Basu, S.
Batchu	Batchu, Umalathan
Bates	Bates, John J.
BatesJ	Bates, J.
Bateson	Bateson, John E. G.
Batley	Batley, R.
Batsell	Batsell, Richard R.
Batt	Batt, Peter J.
Batta	Batta, Rajan
Batty	Batty, Mike
Baumann	Baumann, Gerd
Baumeister	Baumeister, Roy F.
Baumeler	Baumeler, M.
Baumgartner	Baumgartner, Michael
Bawa	Bawa, Kapil
Bayarma	Bayarma, Alexander
Bayen	Bayen, Alexandre M.
Bayir	Bayir, Murat Ali
Bazzan	Bazzan, A. L. C.
Bazzani	Bazzani, A.
Bebber	Bebber, Dan P.
Beck	Beck, Matthew J.
Becke	Becke, M.
Becken	Becken, Susanne
BeckenO	Becken, Olaf
Becker	Becker, Gary S.
BeckerF	Becker, Felix
BeckerH	Becker, Henrik
BeckerR	Becker, R.
BeckerU	Becker, Udo
BeckmanR	Beckman, Richard J.
Beckmann	Beckmann, Klaus J.
BeckmannJ	Beckmann, Judith
BeckmannM	Beckmann, Martin
BeckmannMJ	Beckmann, M. J.
BeckmannP	Beckmann, Petra
Beckx	Beckx, Carolien
Bedford	Bedford, M.
Beer	Beer, M.
Beesley	Beesley, Michael E.
BeharryBorg	Beharry-Borg, Nesha
Beige	Beige, Sigrun
Beigl	Beigl, M.
Beimborn	Beimborn, Edward
Beirao	Beirão, J. N.
Bekhor	Bekhor, Shlomo
Belart	Belart, Benjamin C.
Belderrain	Belderrain, M. C. N.
Belella	Belella, Paul A.
Belik	Belik, Vitaly
Belisle	Belisle, Patrick
Bell	Bell, D. E.
BellDR	Bell, David R.
BellM	Bell, Michael G. H.
BellR	Bell, R.
BellSJ	Bell, Simon J.
Bellemans	Bellemans, Tom
Bellens	Bellens, Rik
Bellman	Bellman, Richard Ernest
Bello	Bello, Laurentino
BelloD	Bello, Daniel C.
Belzner	Belzner, Heidrun
Bemetz	Bemetz, V.
BenAbdesslem	Ben Abdesslem, Fehmi
BenAkiva	Ben-Akiva, Moshe E.
BenJoseph	Ben-Joseph, E.
Bender	Bender, Klaus
BenderEA	Bender, Edward A.
Benekohal	Benekohal, Rahim F.
Benenson	Benenson, Itzhak
Benes	Benes, Bedrich
Benmohamed	Benmohamed, Mohamed
Benners	Benners, L.
Bennison	Bennison, David
Benson	Benson, Jimmie D.
BensonPE	Benson, Paul E.
Bentler	Bentler, P. M.
Bentley	Bentley, J. L.
Benzion	Benzion, Uri
Bera	Bera, A.K.
Berdica	Berdica, Katja
Berestycki	Berestycki, Henri
Berg	Berg, W. D.
Berger	Berger, Manuel
Bergman	Bergman, M. J.
Bergmann	Bergmann, M.
Bernard	Bernard, Michael
Bernardin	Bernardin, Vincent L.
Bernardino	Bernardino, Adriana T.
Bernauer	Bernauer, Eric
BernoulliD	Bernoulli, Daniel
Bernstein	Bernstein, David H.
BernsteinD	Bernstein, David
Berry	Berry, Brian J. L.
Berstein	Berstein, D. H.
Beser	Beser, Muriel
Bettman	Bettman, J. R.
Betz	Betz, Nancy E.
Beuck	Beuck, Ulrike
Beverland	Beverland, Michael
BeyerHG	Beyer, Hans-Georg
Bhargava	Bhargava, Sana
Bhat	Bhat, Chandra R.
BhatAC	Bhat, Aarti C.
Bhatt	Bhatt, Kiran U.
Bhattacharjee	Bhattacharjee, Bobby
Bhattacharyya	Bhattacharyya, A.
Bialostozky	Bialostozky, Evan
Bickel	Bickel, P.
Biding	Biding, T.
Bieger	Bieger, T.
Biehl	Biehl, Katherine
Bielli	Bielli, M.
Bierce	Bierce, Eric
Bierlaire	Bierlaire, Michel
Biethahn	Biethahn, Jörg
Biles	Biles, William E.
Bilotkach	Bilotkach, Volodymyr
Bindra	Bindra, S.
Binnenbruck	Binnenbruck, H.
Birdsall	Birdsall, James
Birfir	Birfir, Slava
Birg	Birg, H.
Birkeland	Birkeland, Mikkel Egede
Birkin	Birkin, M.
Birkmann	Birkmann, Jörn
Birkner	Birkner, Thomas
Birn	Birn, K.
Birotker	Birotker, Yehoshua
Bischof	Bischof, Tamara
Bischoff	Bischoff, Joschka
Bishop	Bishop, S.
Bittner	Bittner, W. L.
Bivand	Bivand, Robert
Bjorner	Bjorner, Thomas B.
Blachman	Blachman, Meir
Black	Black, W. C.
Blaikie	Blaikie, Piers
Blais	Blais, Ann-Renée
Bleisch	Bleisch, A.
Blessing	Blessing, R.
Bliemer	Bliemer, Michiel C. J.
Blinde	Blinde, Julia
Blitzstein	Blitzstein, Joseph
Bloebaum	Blöbaum, Anke
Blom	Blom, Jan
Blommestein	Blommestein, Hans
Blondel	Blondel, Vincent D.
Blossfeld	Blossfeld, Hans-Peter
Blum	Blum, J.
Blumenberg	Blumenberg, Evelyn
Blumm	Blumm, Nicholas
Blundell	Blundell, Richard
Boccara	Boccara, Bruno
Bock	Bock, Benno
Bockemuehl	Bockemühl, F.
Boddy	Boddy, L.
Bode	Bode, Jeffrey W.
Bodenbender	Bodenbender, Anne-Kathrin
Bodenmann	Bodenmann, Balz R.
Bodur	Bodur, H. Onur
Boehme	Böhme, S.
Boerjesson	Börjesson, Maria
Boero	Boero, M.
Boesch	Bösch, Patrick M.
Boettger	Böttger, Thorsten
Bogenberger	Bogenberger, Klaus
Bogner	Bogner, Alexander
Boguna	Bogu\~n\'a, Mari\'an
Bohn	Bohn, William
Bohte	Bohte, Wendy
Bolduc	Bolduc, Denis
Bolik	Bolik, H.
Bollen	Bollen, K. A.
Boloni	Boloni, Ladislau
Bolot	Bolot, Jean
Boltze	Boltze, M.
Bonabeau	Bonabeau, Eric
Bondzio	Bonzio, Lothar
Bonifaci	Bonifaci, Vincenzo
Bonnel	Bonnel, P.
Bonsall	Bonsall, P. W.
Boo	Boo, G.
Bordin	Bordin, Patricia
Bordini	Bordini, Rafael H.
Borgers	Borgers, Aloys W. J.
Bornholdt	Bornholdt, Stefan
Borning	Borning, A.
Borzacchiello	Borzacchiello, Maria Teresa
Bosredon	Bosredon, Melanie
Bossel	Bossel, Hartmut
Bosselmann	Bosselmann, Michael
Bothos	Bothos, Efthimios
Botkin	Botkin, Martin R.
Botma	Botma, H.
Bottom	Bottom, J. A.
BottomJ	Bottom, J.
Boulouchos	Boulouchos, K.
Bouman	Bouman, P.
BounMy	Boun My, Kene
Bourahla	Bourahla, Mustapha
Bourguignon	Bourguignon, Francois
Bourdic	Bourdic, Loeiz
Bovy	Bovy, Piet H. L.
Bowman	Bowman, John L.
Box	Box, G. E. P.
Boyce	Boyce, David
BoyceDE	Boyce, David E.
Boyd	Boyd, J. Hayden
Boyle	Boyle, R. D.
BoyleK	Boyle, K.
Bradburn	Bradburn, Norman M.
Bradlay	Bradlay, Gordon
Bradley	Bradley, Mark A.
Braendle	Brändle, Norbert
Braennaes	Brännäs, Kurt
Braess	Braess, Dietrich
Brail	Brail, R. K.
Bramley	Bramley, Glen
Brandes	Brandes, U.
Brandon	Brandon, Jonathan
Bratrich	Bratrich, Christine
Braun	Braun, Nils
Brawand	Brawand, Sergio
Brazil	Brazil, William
Brechet	Brechet, Y.
Brederode	Brederode, L.
BreenD	Breen, D.
Breheret	Breheret, Laurent
Breiman	Breiman, Leo
Breitenstein	Breitenstein, Christine
Brems	Brems, C.
Breuss	Breuss, Simon
Brewer	Brewer, Ann M.
Briand	Briand, Anne
Bricka	Bricka, Stacey
Brignole	Brignole, Nélida
Brignoni	Brignoni, Massimo
Brijs	Brijs, T.
Brilon	Brilon, W.
Bristow	Bristow, Abigail L.
Broach	Broach, Joseph
Brodal	Brodal, G. S.
Broeg	Brög, Werner
Brook	Brook, D.
Brown	Brown, Juanita J.
BrownC	Brown, Colby
BrownL	Brown, Lawrence A.
BrownS	Brown, Stephen
Browning	Browning, M.
Brownlee	Brownlee, A. T.
Brownstone	Brownstone, D.
Brucks	Brucks, Wernher M.
Brueggemann	Brüggemann, U.
Bruehwiler	Brühwiler, Eugen
Bruhn	Bruhn, Manfred
Brunn	Brunn, Stanley D.
Brunner	Brunner, James A.
BrunnerB	Brunner, Beat
Bruns	Bruns, Frank
Brunsdon	Brunsdon, Chris
Brunsma	Brunsma, David L.
Brush	Brush, A.J.B.
Bruwier	Bruwier, M.
Brychta	Brychta, Peter
Bucci	Bucci, Anthony
Buchegger	Buchegger, T.
Bucher	Bucher, Benedicte
Buchmueller	Buchmüller, Stephan
Buergle	Bürgle, Michaela
Buergler	Bürgler, Stefan
Buhl	Buhl, T
BuhlJ	Buhl, J.
BuhlS	Buhl, Soren
Buhmann	Buhmann, J. M.
Buisson	Buisson, Christine
Bujosa	Bujosa, Marcos
Buliung	Buliung, Ron N.
Bullock	Bullock, P.
BullockD	Bullock, Darcy
Bulsara	Bulsara, Max
Bunch	Bunch, D.
Burgard	Burgard, Wolfram
Burgener	Burgener, A.
Burgess	Burgess, A.
Buriks	Buriks, Carla
Buriol	Buriol, Luciana S.
Burke	Burke, Edmund
Burkhard	Burkhard, Remo
Burkhardt	Burkhardt, Jon
Burmeister	Burmeister, B.
Burnett	Burnett, K. O.
BurnettKP	Burnett, K. P.
BurnettP	Burnett, Pat
Burns	Burns, James E.
Burri	Burri, Adrian
Burris	Burris, Mark W.
Burt	Burt, Steve
Burton	Burton, I.
Buschor	Buschor, Oliver
Busic	Busic, Ana
Buss	Buss, Dale
Busse	Busse, G.
Button	Button, Kenneth J.
Byon	Byon, Young-Ji
Byrd	Byrd, Andrew
Byrne	Byrne, B.
ByrneJ	Byrne, John

% C %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Caceres	Caceres, R.
Cacho	Cacho, Oscar
Caduff	Caduff, Luzian
Cadwallader	Cadwallader, Martin
Cai	Cai, X.
Cain	Cain, Virginia S.
Calabrese	Calabrese, Francesco
Callahan	Callahan, Paul B.
Calvo	Calvo, Roberto Wolfer
Camandona	Camandona, Christian
Camara	Câmara, Gilberto
Cameron	Cameron, Gordon D. B.
Campari	Campari, Riccardo
Campbell	Campbell, Andrew
CampbellKE	Campbell, Karen E.
Campolongo	Campolongo, Francesca
Caneparo	Caneparo, Luca
Canfield	Canfield, E. Rodney
Cannon	Cannon, Terry
Cantarella	Cantarella, C.
Cantillo	Cantillo, Victor
CantuRos	Cantú-Ros, Oliva
Canziani	Canziani, O. F.
Canzler	Canzler, Weert
Cao	Cao, Xinyu
CaoJ	Cao, Jin
CaoL	Cao, Lili
Carballido	Carballido, Jessica
Carbone	Carbone, Ana
Cardell	Cardell, N. Scott
Cardillo	Cardillo, Alessio
Cardona	Cardona, O. D.
Carell	Carell, A.
Carey	Carey, Malachy
Cariboni	Cariboni, Jessica
Carl	Carl, Gudrun
Carle	Carle, Gian
Carlsson	Carlsson, Erik
Carmona	Carmona, Matthew
Carosio	Carosio, A.
Carpenter	Carpenter, S. M.
Carralero	Carralero-Encinas, Jose
Carrasco	Carrasco, Nelson
CarrascoJA	Carrasco, Juan Antonio
Carrel	Carrel, André
Carrier	Carrier, Emmanuel
CarrionMadera	Carrion-Madera, C.
Carson	Carson, J.
Carter	Carter, Todd B.
Casas	Casas, J.
Casati	Casati, Daniele
Cascetta	Cascetta, Ennio
Casey	Casey, H. J.
Cassir	Cassir, C.
Castaigne	Castaigne, M.
Casti	Casti, John L.
Castiglione	Castiglione, Joe
Castro	Castro, Marisol
Cattaneo	Cattaneo, P.
Caulfield	Caulfield, Brian
Cayford	Cayford, Randall
Cebrian	Cebrian, Manuel
Ceder	Ceder, Avishai
Cepeda	Cepeda, M.
Cervero	Cervero, Robert
Cerwenka	Cerwenka, Peter
Cetin	Cetin, Nurhan
Chabini	Chabini, I.
Chakirov	Chakirov, Artem
Chakour	Chakour, Vincent
Chakravarthy	Chakravarty, Pramodh
Chalasani	Chalasani, V. S.
Chalermpong	Chalermpong, Saksith
Chamhuri	Chamhuri, Norshamliza
Chan	Chan, C.
Chang	Chang, Gang-Len.
ChangE	Chang, Elva
ChangG	Chang, G.-L.
ChangHyeon	Chang-Hyeon, J.
ChangP	Chang, Peter C.
ChangS	Chang, Stephanie
Chao	Chao, Fred
Chapin	Chapin, F. S.
Chapleau	Chapleau, Robert
Chapman	Chapman, Randall G.
Charan	Charan, Karthik
Charlton	Charlton, Martin
CharltonB	Charlton, Billy
CharltonW	Charlton, William A.
Charnes	Charnes, A.
Charypar	Charypar, David
Chatterjee	Chatterjee, Arnab
Chau	Chau, K. W.
Chaumet	Chaumet, Ralf
Chawathe	Chawathe, Yatin
Chen	Chen, A.
ChenCy	Chen, Cynthia
ChenF	Chen, F.
ChenH	Chen, Haohui
ChenJ	Chen, Jingmin
ChenJQ	Chen, J.
ChenJI	Chen, Jiangzhuo
ChenJa	Chen, Jason
