% !TEX encoding = utf8
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Encoding check:
%%   ä  ö  ü  Ä  Ö  Ü  ß  á  é  í  ó  ú  à  è  ì  ò  ù  â  ê  î  ô  û
%%
%%   If the above contains rubbish, please re-open this file using
%%   the CORRECT encoding.  By default this is UTF-8.
%%   DO NOT save the file in this case!
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% author.txt:
%   Defines shortcuts for authors.
%   NOTE: NEVER use names for authors
%         in your BibTeX item! Always use the ones in here, or
%         add it if necessary.
%   NOTE: If you add a new shortcut, add it at the right place meaning
%         sorted lexicographially!
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% author names
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% A %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Aasa	Aasa, Anto
ClarkT	Clark, Thomas L.
ClarkW	Clark, William A. V.
Clarke	Clarke, Mike I.
ClarkeJ	Clarke, John
Cleary	Cleary, Paul D.
Clever	Clever, Reinhard
Cliff	Cliff, A.D.
Clifford	Clifford, Eoin
Clifton	Clifton, Kelly J.
Coates	Coates, Paul
Cochran	Cochran, James J.
Coffman	Coffman, E. G.
Cohen	Cohen, Yehoshua
CohenH	Cohen, Harry
Coil	Coil, John
Colakoglu	Colakoglu, Birgul
Coller	Coller, Maribeth
Collins	Collins, Reuben
CollinsA	Collins, Andrew
Collo	Collo, Mattia
Colome	Colome, Rosa
ComanchoTorregrosa	Comancho Torregrosa, Francisco Javier
Come	Come, E.
Cominetti	Cominetti, R.
Conners	Conners, R. D.
Contardo	Contardo, Claudio
Conti	Conti, John
Conventz	Conventz, Svens
Converse	Converse, P. D.
Cook	Cook, James M.
CookA	Cook, A.
CookAJ	Cook, A. J.
Cooke	Cooke, Ernest F.
Cools	Cools, Mario
Coombe	Coombe, D.
Cooper	Cooper, W. W.
Copley	Copley, Geoff
CopperC	Copper Marcus, Clare
Copperman	Copperman, Rachel B.
Corbett	Corbett, James
Cormican	Cormican, Kelly J.
Cornelis	Cornélis, Eric
CornelisE	Cornelis, E.
Cornelius	Cornelius, Sarah
Correa	Correa, José
Correia	Correia, Gonçalo
Cortes	Cortés, Christian E.
Corthout	Corthout, Ruben
Cosley	Cosley, Dan
Cosslett	Cosslett, Stephen
Costello	Costello, Anna B.
Cottrill	Cottrill, Caitlin Doyle
CottrillC	Cottrill, Caitlin
Couronne	Couronne, Thomas
CouronneT	Couronn\'e, Thomas
Court	Court, Mary
Courtat	Courtat, Thomas
Cova	Cova, Thomas J.
Cover	Cover, Thomas M.
Cowan	Cowan, R.
Cowell	Cowell, W. J.
Cox	Cox, William E.
CoxDR	Cox, D. R.
CoxLA	Cox, Louis A.
CoxLH	Cox, L. H.
Craglia	Craglia, Massimo
Cramer	Cramer, Nichael Lynn
CrastesditSourd	Crastes dit Sourd, Romain
Crawford	Crawford, Melba M.
Creemers	Creemers, L.
Crandall	Crandall, David J.
Cremers	Cremers, Armin B.
Creutzig	Creutzig, F.
Crisalli	Crisalli, U.
Crittin	Crittin, Frank
Crompton	Crompton, John L.
Crompvoets	Crompvoets, Joep
Crouch	Crouch, Geoffrey I.
Crucitti	Crucitti, P.
Csiszar	Csiszár, I.
Cuellar	Cuéllar, Leticia
Cunha	Cunha, S. H. F.
Curtis	Curtis, Andrew
Cutler	Cutler, Adele
Cutter	Cutter, Susan L.
Cuttone	Cuttone, Andrea
Cybis	Cybis, Helena B. B.

% D %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

DAcierno	D'Acierno, Luca
DAttoma	D'Attoma, Pierangelo
DEste	D'Este, Glen M.
Dafermos	Dafermos, Stella
Daganzo	Daganzo, Carlos F.
Dalton	Dalton, Ruth
Dalumpines	Dalumpines, Ron
Dalvi	Dalvi, Quasim
Daly	Daly, A. J.
DalyEM	Daly, Elizabeth M.
Dalziell	Dalziell, Erica
Damm	Damm, D.
Danne	Danne, Carter A.
Dantzig	Dantzig, G. B.
Darbha	Darbha, S.
Dargay	Dargay, Joyce
Darlington	Darlington, P. J.
Darrah	Darrah, P. R.
Darwin	Darwin, Charles R.
Das	Das, Kirti Vardhan
Dasen	Dasen, Stefan
Dasgupta	Dasgupta, A.
DasguptaS	Dasgupta, Subinay
Dash	Dash, Nicole
Datta	Datta, Sumon
Datye	Datye, Som S.
David	David, Nuno
Davidson	Davidson, W. A.
DavidsonB	Davidson, Bill
DavidsonR	Davidson, R.
DaviesC	Davies, C.
DaviesFM	Davies, Fiona M.
Davis	Davis, Lawrence
DavisI	Davis, Ian
Davison	Davison, Robert M.
Dayan	Dayan, Peter
DeCantis	De Cantis, Stefano
DeJongED	De Jong, Edwin D
DeNocker	De Nocker, L.
Declercq	Declercq, K.
Decuyper	Decuyper, Adeline
Deepa	Deepa, S.N.
DeGier	de Gier, Jan
DeGrange	de Grange, Louis
DeHaan	de Haan, Peter
DeJong	de Jong, Robert
DeJongG	de Jong, Gerard
DeJongKA	De Jong, Kenneth Alan
DeJongT	de Jong, Tom
DeJuan	de Juan, Aránzazu
DeLaBarra	de la Barra, T.
DeLapparent	De Lapparent, M.
DeMaeyer	de Maeyer, Philippe
DeOnaLopez	de Oña López, Juan
DePalma	de Palma, André
DeRomph	de Romph, Erik
DeSerpa	DeSerpa, Allan C.
DeSilva	de Silva, F. N.
DeWulf	de Wulf, Kristof
Dean	Dean, Brian C.
Deaton	Deaton, Angus
Debreu	Debreu, Gérard
Deecke	Deecke, Helmut
Deflorio	Deflorio, F. P.
DelRosario	Del Rosario, B. T.
Delafontaine	Delafontaine, Matthias
Delfino	Delfino, Ralph
Delleart	Delleart, Benedict G. C.
Delling	Delling, Daniel
Delucchi	Delucchi, Mark A.
Demetrescu	Demetrescu, Camil
Deming	Deming, W. Edwards
Demirbas	Demirbas, Murat
DenantBoemont	Denant-Boèmont, Laurent
Deneubourg	Deneubourg, J. L.
Deng	Deng, Zhihong
DengZ	Deng, Zhongwei
Denison	Denison, Tim J.
Deppermann	Deppermann, Arnulf
Deqlercq	Deqlercq, K.
Derungs	Derungs, Curdin
Dessalles	Dessalles, Jean-Louis
Dessemontet	Dessemontet, Pierre
Deutsch	Deutsch, Kathleen
DeutschF	Deutsch, F.
Devillaine	Devillaine, Flavio
Deville	Deville, Jean-Claude
DeZeeuw	De Zeeuw, Gerard
Devroye	Devroye, Luc
Dewals	Dewals, B. J.
Di	Di, Shan
DiBattista	di Battista, Guiseppe
DiLorenzo	di Lorenzo, Giusy
DiTaranto	Di Taranto, Carlo
Diaconis	Diaconis, Persi
Dial	Dial, Robert B.
Dias	Dias, I.
DiazGuilera	Diaz-Guilera, A.
Dibbelt	Dibbelt, Julian
Dickson	Dickson, Peter R.
DicksonJ	Dickson, J.J.
Diekmann	Diekmann, Andreas
Dieleman	Dieleman, Frans M.
Dielman	Dielman, Terry E.
Dietz	Dietz, Thomas
Dieussaert	Dieussaert, Karel
Diggle	Diggle, Peter J.
Dijkstra	Dijkstra, Edsger Wybe
DijkstraP	Dijkstra, Pearl A.
Dijst	Dijst, M.
Dill	Dill, Jennifer
Dillman	Dillman, Don A.
Diminescu	Diminescu, Dana
Dimitrakopolou	Dimitrakopolou, E.
Dimitropoulos	Dimitropoulos, I.
Ding	Ding, Dong
Dion	Dion, Francois
Dix	Dix, M. C.
Dixit	Dixit, Vinayak V.
Doblack	Doblack, Joseph
Dobler	Dobler, Christoph
Dobritz	Dobritz, Robert
Dodsworth	Dodsworth, Robert O.
Doernenburg	Dörnenburg, K.
Doherty	Doherty, Sean T.
Doig	Doig, A. G.
Dolci	Dolci, C.
Dombroski	Dombroski, Matt
Domencich	Domencich, Tom
Donaghy	Donaghy, Kieran P.
Donnell	Donnell, Eric T.
Dong	Dong, Shen
DongX	Dong, Xiaojing
Donlan	Donlan, Brian J.
Donnelly	Donnelly, Robert
DonnellyR	Donnelly, Rick
Donoso	Donoso, Pedro
Dorigo	Dorigo, Marco
DosSantos	dos Santos Eleutério, Vânia Lucia
DosSantosMIRD	dos Santos, M. Isabel Reis
Douady	Douady, Stephane
Dougherty	Dougherty, M. S.
DoughertyM	Dougherty, M.
Douma	Douma, Frank
Dousse	Dousse, Olivier
Dow	Dow, Kirstin
Dowling	Dowling, Richard
Downey	Downey, Paul O.
Downs	Downs, Anthony
Doyle	Doyle, John C.
Drabek	Drabek, Thomas E.
Draijer	Draijer, Geert
Druschel	Druschel, Peter
Du	Du, Jianhe
Duan	Duan, J.
Duany	Duany, Andres
Duarte	Duarte, Abraham
DuarteJP	Duarte, Jose Pinto
Dubernet	Dubernet, Thibaut
DubernetI	Dubernet, Ilka
Duesterwald	Düsterwald, Michael
Dugge	Dugge, Birgit
Dugundji	Dugundji, E. R.
Dujardin	Dujardin, C.
Dukes	Dukes, Anthony
Dunbar	Dunbar, Frederick C.
Duncan	Duncan, Gordon I. D.
Dunkerley	Dunkerley, Fay
Dunkin	Dunkin, A.
Dunlap	Dunlap, Riley E.
Dunn	Dunn, Travis P.
Dupuis	Dupuis, Paul
DurandRaucher	Durand-Raucher, Y.
DutraDeAguilar	Dutra  de Aguilar, A. P.
Dutta	Dutta, Tridib
Dutton	Dutton, J. A.
Dynan	Dynan, Karen


% E %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Eagle	Eagle, Thomas C.
EagleN	Eagle, Nathan
East	East, Robert
Eastlick	Eastlick, Mary Ann
Ebel	Ebel, Holger
Eberhard	Eberhard, L. K.
Echenique	Echenique, Pablo
Eckhardt	Eckhardt, Roger
Ecola	Ecola, Liisa
Edelhoff	Edelhoff, Torben
Edwards	Edwards, Henrik
EdwardsJL	Edwards, J. L.
EdwardsB	Edwards, Bob
Efrat	Efrat, Elisha
Eftekhar	Eftekhar, H.
Efthymiou	Efthymiou, Dimitrios
Eggenberger	Eggenberger, Manfred
Eglese	Eglese, Richard W.
Ehlers	Ehlers, Emily
Ehreke	Ehreke, Ilka
Ehrler	Ehrler, Verena
Ehrlich	Ehrlich, D.
Eiben	Eiben, A. E.
Eichler	Eichler, Michael
EichlerD	Eichler, David
Eigenhueller	Eigenhüller, L.
Eigenmueller	Eigenmüller, L.
Eigenwillig	Eigenwillig, Arno
Eizenberg	Eizenberg, Julie
Ekambaram	Ekambaram, Venkatesan
Ekmekci	Ekmekci, Onur
ElEsawey	El Esawey, Mohamed
ElGeneidy	El-Geneidy,  Ahmed
ElMahrsi	ElMahrsi, M. K.
Elalouf	Elalouf, A.
Elaluf	Elaluf, A.
Elefteriadou	Elefteriadou, L.
Eliasson	Eliasson, Jonas
Ellison	Ellison, Richard
Elphick	Elphick, M. J.
Eluru	Eluru, Naveen
Embrechts	Embrechts, Paul
Emmerink	Emmerink, Richard H. M.
Emmonds	Emmonds, Andy
Endlicher	Endlicher, Wilfried
Engelbrech	Engelbrech, Gerhard
Engelen	Engelen, Guy
Engelke	Engelke, Lynette J.
English	English, Donald B.K.
Enz	Enz, Robert
Eom	Eom, Jin Ki
Epstein	Epstein, Joshua M.
ErRafia	Er-Rafia, K.
Erath	Erath, Alexander L.
Erhard	Erhard, Kristina
Erhardt	Erhardt, Gregory
ErhardtGD	Erhardt, Gregory D.
Erickson	Erickson, Bonnie H.
Erkut	Erkut, Erhan
Erne	Erne, Stephan
Erni	Erni, D.
Eroglu	Eroglu, Sevgin
Ertl	Ertl, Gerhard
Ester	Ester, M.
Esser	Esser, Jörg
Esteves	Esteves, Edgar F
Estrada	Estrada, M.
Ettema	Ettema, Dick F.
Etzel	Etzel, Michael J.
Eubank	Eubank, Stephen E.
Evangelinos	Evangelinos, C.
Evans	Evans, John E.
EvansG	EvansG, Gerald W.
EvansGW	Evans, G. W.
EvansSP	Evans, Suzanne. P.
Evenson	Evenson, Kelly
Everett	Everett, Carol T.
EverettJ	Everett, Jerry
Ewing	Ewing, Gordon
EwingR	Ewing, Reid
Eymann	Eymann, Torsten

% F %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Faber	Faber, Michael H.
Fabrikant	Fabrikant, Sara
Fagiani	Fagiani, P.
Fagin	Fagin, Ronald
Fagnant	Fagnant, Daniel J.
Fahmy	Fahmy, Monica
Fahrlaender	Fahrländer, Stefan Sebastian
FaivreDArcier	Faivre D'Arcier, Bruno
Falk	Falk, Armin
Fan	Fan, Jessie X.
FanW	Fan, Wei
FanY	Fan, Yingling
Fang	Fang, Hao Audrey
FangJ	Fang, Jinqi
Farah	Farah, M.
Farber	Farber, Steven
Fargier	Fargier, Paul-Henri
Farkas	Farkas, Illes
Farmer	Farmer, D.
Farooq	Farooq, Bilal
Farrington	Farrington, P. A.
Farrokhikhiav	Farrokhikhiav, R.
Farsi	Farsi, Mehdi
Farzin	Farzin, Janine M.
Favez	Favez, J.-Y.
Fearne	Fearne, Andrew
Feeney	Feeney, B. P.
Fehr	Fehr, Ernst
Feil	Feil, Matthias
Feld	Feld, Scott L.
FeldmanBarr	Feldman Barr, Terri
Fellendorf	Fellendorf, Martin
Feng	Feng, Y.
FentonOCreevy	Fenton-O'Creevy, Mark
Ferber	Ferber, Jacques
Ferdous	Ferdous, N.
Ferguson	Ferguson, Erik
Fernandes	Fernandes, Ralston
Ferrante	Ferrante, Mauro
Ferreira	Ferreira, Paulo A. F
FerreiraJ	Ferreira, Joseph
FerreiraL	Ferreira, Luis
Ferrer	Ferrer, J. L.
Ferris	Ferris, Michael C.
Ferscha	Ferscha, Alois
Fessant	Fessant, Francoise
Fetiarson	Fetiarson, Mamy
Feygin	Feygin, Sidney
FgsvD	FGSV
Fichter	Fichter, Klaus
Ficici	Ficici, Sevan Gregory
Fienberg	Fienberg, Stephen E.
Fiez	Fiez, Tim
Fifer	Fifer, Simon
Figueiredo	Figueiredo, Mario A.T.
Filippini	Filippini Massimo
Filliger	Filliger, Paul
Finkel	Finkel, R. A.
Finlay	Finlay, B
FiorenzoCatalano	Fiorenzo-Catalano, Stella
Fischbacher	Fischbacher, Urs
Fischbeck	Fischbeck, Paul
Fischer	Fischer, Daniel
FischerK	Fischer, K.
Fischhoff	Fischhoff, Baruch
Fishburn	Fishburn, P. C.
Fisher	Fisher, Michael
Fishman	Fishman, Elliot
FitzGerald	FitzGerald, Camden
Fiume	Fiume, E.
Flamm	Flamm, Michael
Flammia	Flammia, Giovanni
Flammini	Flammini, Alessandro
Flannery	Flannery, Brain P.
Fleischer	Fleischer, Rudolf
Fleisher	Fleisher, A.
Fletcher	Fletcher, R.
Fletterman	Fletterman, Manuel
Floethmann	Flöthmann, J.
Floetteroed	Flötteröd, Gunnar
Flora	Flora, R.
Florian	Florian, M.
Florida	Florida, Richard
Floudas	Floudas, Christodoulos A.
Fluegel	Flügel, S.
Flyvbjerg	Flyvbjerg, Bent
Flynn	Flynn, Peter
FlynnC	Flynn, Cynthia B.
Fogel	Fogel, David B.
FogelL	Fogel, Lawrence J.
Folkers	Folkers, G.
Follmer	Follmer, Robert
Fondacci	Fondacci, R.
Fonzone	Fonzone, A.
Ford	Ford, L. R.
FordJ	Ford, James S.
Forer	Forer, Pip
Forma	Forma, Iris A.
Foerster	Förster, Agnes
Forrest	Forrest, Timothy L.
Foscht	Foscht, Thomas
Fosgerau	Fosgerau, Mogens
Fotheringham	Fotheringham, A. Stewart
Fourie	Fourie, Pieter J.
Fowkes	Fowkes, A. S.
FowkesA	Fowkes, A.
FowkesT	Fowkes, T.
Fowler	Fowler, James H.
Fox	Fox, Dieter
FoxC	Fox, Christine
FoxE	Fox, Edward J.
FoxG	Fox, Geoffrey
FoxJ	Fox, James
FoxJA	Fox, J. A.
FoxK	Fox, Ken
Francis	Francis, Carolyn
Francois	Francois, Dominique
Frank	Frank, M.
FrankE	Frank, Eibe
FrankL	Frank, Lawrence
FrankN	Frank, N.
FrankO	Frank, Ove
FrankP	Frank, Patrick
Franklin	Franklin, Joel P.
Frankowski	Frankowski, Dan
Franks	Franks, Daniel W.
Franses	Franses, Philip Hans
Fraschini	Fraschini, Elena
Frazier	Frazier, Christopher
Frederiksen	Frederiksen, Rasmus Dyhr
Freedman	Freedman, N.
FreedmanJ	Freedman, Joel
Freeman	Freeman, L. C.
Frei	Frei, A.
Freier	Freier, N.
Freiman	Freiman, C.V.
Freimer	Freimer, Robert
Frejinger	Frejinger, Emma
Frerks	Frerks, Georg
Frey	Frey, Dieter
FreyB	Frey, Bruno S.
FriasMartinez	Frías-Martínez, Enrique
Frick	Frick, Martin
FrickR	Frick, Roman
Fricker	Fricker, Mark D.
FrickerC	Fricker, Christine
Friday	Friday, A.
Fried	Fried, M.J.
Friedman	Friedman, Jerome
FriedmanD	Friedman, Daniel P.
Friedrich	Friedrich, Markus
FriedrichR	Friedrich, R.
Fries	Fries, Nikolaus
Friesz	Friesz, T. L.
Frigioni	Frigioni, Daniele
Frignani	Frignani, Martina Z.
Fritz	Fritz, Charles E.
Froehlich	Fröhlich, Philipp
Froschauer	Froschauer, Ulrike
Frusti	Frusti, T.
Frybourg	Frybourg, M.
Fu	Fu, Mengyin
FuC	Fu, Chi-Wing
FuL	Fu, L.
FuY	Fu, Yingfei
Fuchs	Fuchs, Mario
FuchsPA	Fuchs, Philipp A.
Fudenberg	Fudenberg, Drew
Fuentes	Fuentes, Montserrat
Fuhrer	Fuhrer, Raphael
Fujii	Fujii, Satoshi
Fujimoto	Fujimoto, Richard M.
Fujioka	Fujioka, Heather
Fujiwara	Fujiwara, Akimasa
Fukuda	Fukuda, D.
Fukui	Fukui, Minoru
Fukumoto	Fukumoto, Makoto
Fulkerson	Fulkerson, D. R.
Fuller	Fuller, Andy
Fullerton	Fullerton, D.
Funaro	Funaro, Maria
Furey	Furey, Eoghan
Furtak	Furtak, Peter
Fussell	Fussell, Elizabeth

% G %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Gabard	Gabard, Jean-Francois
Gaerling	Gärling, Tommy
GaerlingA	Gärling, Anita
Gaetzi	Gaetzi, M.
Gaker	Gaker, DJ
Galdames	Galdames, Camila
Gallo	Gallo, Mariano
Gallotti	Gallotti, Riccardo
Galus	Galus, Matthias D.
GalvezFernandez	Galvez-Fernandez, C.
Gamma	Gamma, Erich
Gan	Gan, Li Ping
GangJin	Gang Jin, J.
GangaRao	GangaRao, Hota V. S.
Ganig	Ganig, Nicholas
Ganjalizadeh	Ganjalizadeh,S.
Gantner	Gantner, U.
Gao	Gao, Song
GaoSh	Gao, Shengyi
GaoW	Gao, Wenli
GaoZ	Gao, ZiYou
Garbow	Garbow, Burton S.
Garcia	Garcia, D.
GarciaA	García, Alfredo
GarciaDorado	Garcia-Dorado, I.
GarciaF	García-Ferrer, Antonio
GarciaLopez	Garcia-López, Miquel Angel
GarciadeSoto	Garcia de Soto, Borja
Gardelli	Gardelli, Luca
Gardner	Gardner, B.
Garey	Garey, M. R.
Garoni	Garoni, Timothy M.
Garrison	Garrison, W. L.
Garry	Garry, G. R.
Gartner	Gartner, Nathan H.
GartnerG	Gartner, Georg
Garver	Garver, Raymond
Garvill	Garvill, Jörgen
Garz	Garz, Detlef
Gast	Gast, Nicolas
Gatelli	Gatelli, Debora
Gatersleben	Gatersleben, Birgitta
GaticaPerez	Gatica-Perez, Daniel
Gaudry	Gaudry, Marc
Gautama	Gautama, Sidharta
Gautrais	Gautrais, J.
Gautschi	Gautschi, David A.
Gawron	Gawron, C.
Gayah	Gayah, Vikash V.
Ge	Ge, Y. E.
Gebhardt	Gebhardt, Serge
Geddes	Geddes, Norman Melancton Bel
GeQ	Ge, Qiao
Gehlke	Gehlke, C. E.
Gehlsen	Gehlsen, Björn
Geisberger	Geisberger, Robert
Geistefeldt	Geistefeldt, Justin
Gelatt	Gelatt, C. D.
Gelfand	Gelfand, Alan E.
Gemperle	Gemperle, Fabian
Gendreau	Gendreau, Michel
GenreGrandpierre	Genre-Grandpierre, C.
Gentile	Gentile, Guido
George	George, Boby
Georgeff	Georgeff, Michael P.
Georges	Georges, Gil
Georggi	Georggi, Nevine L.
Gerardin	Gerardin, Bernard
Gerdes	Gerdes, Ingrid
Gerike	Gerike, Regine
Germanos	Germanos, George
Geroliminis	Geroliminis, Nikolas
Gerrard	Gerrard, Bill
GertschJossi	Gertsch-Jossi, Ursula
Geurs	Geurs, K. T.
Ghez	Ghez, R. G.
Ghosh	Ghosh, Avijit
GhoshJ	Ghosh, Joydeep
Giacomin	Giacomin, David J.
Giaimo	Giaimo, Greg
Giannotti	Giannotti, F.
Gibb	Gibb, John
GibbK	Gibb, K.
Gibbons	Gibbons, Stephen
Gibson	Gibson, Jaime
GibsonH	Gibson, Heather
Gicheva	Gicheva, Dora
Giddens	Giddens, Anthony
Gidron	Gidron, David
Gifford	Gifford, Robert
Gil	Gil, Jorge
Gilbert	Gilbert, Nigel
GilbertEN	Gilbert, E. N.
Gilchrist	Gilchrist, A.
Gile	Gile, Krista J.
Giles-Corti	Giles-Corti, Billie
Gillen	Gillen, David W.
Gillholm	Gillholm, Robert
Gillingham	Gillingham, Kenneth
Gillis	Gillis, Dominique
Gingrich	Gingrich, André
Gips	Gips, James
Girault	Girault, Jan-Torben
Giuliano	Giuliano, Genevieve
Givon	Givon, Danny
Gladwin	Gladwin, Hugh
Glaeser	Gläser, Jochen
GlaeserEL	Glaeser, Edward L.
Glaister	Glaister, Stephen
Glazer	Glazer, Amihai
Glemser	Glemser, A.
Glerum	Glerum, Aurélie
Gliebe	Gliebe, John P.
GliebeJ	Gliebe, J.
Gloaguen	Gloaguen, Catherine
Gloor	Gloor, Christian D.
Glover	Glover, Fred
Gmuender	Gmünder, Markus
Goel	Goel, Shivendra
Goetzke	Goetzke, Frank
Goldberg	Goldberg, D. E.
GoldbergAV	Goldberg, A. V.
GoldbergP	Goldberg, P.
Golden	Golden, Bruce L.
Goldenberg	Goldenberg, Anna
Goldsman	Goldsman, David
Goldstein	Goldstein, Jeffrey
Golias	Golias, John
Golle	Golle, Philippe
Golledge	Golledge, Reginald G.
Gollwitzer	Gollwitzer, Peter M.
Golob	Golob, Thomas F.
Gomez	Gómez, Penélope
GomezGardenes	G\'omez-Garde\~nes, Jes\'us
GomezJimenez	Gómez Jiménez, Penelope
Gong	Gong, Hongmian
Gonzales	Gonzales, Eric J.
Gonzalez	González, Ana M.
GonzalezMC	González, Marta C.
GonzalezMCQ	Gonz\'alez, Marta C.
GonzalezRM	González, Rosa Marina
GonzalezVaya	González, Vayá M.
Goodchild	Goodchild, Anne
Goode	Goode, Mark M. H.
Goodman	Goodman, Leo A.
Goodwin	Goodwin, P. B.
GoodwinPh	Goodwin, Phil
Gopal	Gopal, Sucharita
GopalA	Gopal, A.
Gopinath	Gopinath, Dinesh
Gordon	Gordon, Peter
Goseberg	Goseberg, Nils
Gosling	Gosling, Samuel D
Gossen	Gossen, Rachel
Gottardi	Gottardi, Giovanni
Gottlieb	Gottlieb, Joshua D.
Gould	Gould, Jane
Goulias	Goulias, Konstadinos G.
Gourley	Gourley, Sean
Govindarajan	Govindarajan, Ajay
GowerJC	Gower, J. C.
Goyal	Goyal, Devendra
Graafland	Graafland, Irma
Grabowski	Grabowski, A.
Graeffe	Gräffe, J
Graf	Graf, Philip
GrafM	Graf, Monique
GrafR	Graf, Ramona
Graham	Graham, Daniel J.
Granovetter	Granovetter, Mark S.
Grass	Grass, Jürgen
Grassian	Grassian, Stuart
Gray	Gray, N.F.
GrayL	Gray, Lawrence
Greaves	Greaves, Stephen
Greene	Greene, William H.
GreeneD	Greene, David Loyd
GreeneWH	Greene, William H.
Greenfeld	Greenfeld, J. S.
Greenhalgh	Greenhalgh, D.
GreenhalghJ	Greenhalgh, Jack
Greeven	Greeven, P.
Grefenstette	Grefenstette, John J.
Grembek	Grembek, Offer
Grether	Grether, Dominik
Grewel	Grewel, Dhruv
Gribaudi	Gribaudi, Maurizio
Grieco	Grieco, Margaret
Griesenbeck	Griesenbeck, Bruce
Griffeath	Griffeath, David
Griffin	Griffin, Terry
Grimal	Grimal, Richard
Grigolon	Grigolon, Anna B.
Grimm	Grimm, Bente
Gringmuth	Gringmuth, Christoph
Groesche	Grösche, Peter
GroothuisOudshoorn	Groothuis-Oudshoorn, Karin
GrossM	Gross, Markus
Grossenbacher	Grossenbacher, Timo
Grossmann	Grossmann, Michael
Gruber	Gruber, C.
Grubesic	Grubesic, T.
Gruebler	Grübler, Arnulf
Gruentzig	Grüntzig, Katrin
Grumbach	Grumbach, Alain
Gruschwitz	Gruschwitz, Dana
Gruska	Gruska, Jozef
Gruteser	Gruteser, Marco
Gschwender	Gschwender, Antonio
Gu	Gu, Tianqi
GuJ	Gu, Jiaying
Guagnano	Guagnano, Gregory A.
Gubler	Gubler, E.
GublerF	Gubler, Florian
Gudzinas	Gudzinas, Brad
Guensler	Guensler, Randall
Guerra	Guerra, Reinaldo
Guerreiro	Guerreiro, Manuela
Guevara	Guevara, Cristian A.
Gueye	Gueye, S.
Guhathakurta	Guhathakurta, Subhrajit
Guibas	Guibas, Leonidas J.
Guida	Guida, Michele
Guihaire	Guihaire, Valerie
Guler	Guler, S. Ilgin
Gummadi	Gummadi, Krishna P.
Gundogan	Gündogan, Fatih
Gunn	Gunn, Hugh
Guo	Guo, Jessica Y.
GuoF	Guo, Feng
GuoX	Guo, Xiucheng
GuoZ	Guo, Zhan
Gupta	Gupta, Surabhi
Gurram	Gurram, S.
Guscetti	Guscetti, Franco
Guth	Guth, D.
Gutknecht	Gutknecht, D.
Gutman	Gutman, Ron
Guttorp	Guttorp, Peter
Guyon	Guyon, Frederic
Guzman	Guzman, Stacey

% H %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Haab	Haab, Timothy C.
Haahr	Haahr, Mads
Haas	Haas, Michael Sebastian
HaasT	Haas, T.
Haase	Haase, R.
HaaseK	Haase, Knut
Haastrup	Haastrup, Palle
Habbas	Habbas, Z.
Habib	Habib, Khandker M. Nurul
Hackett	Hackett, Lisa M.
Hackney	Hackney, Jeremy K.
Haddadi	Haddadi, A.
Haddock	Haddock, Jorge
Haefeli	Haefeli, Ueli
Haegerstrand	Hägerstrand, T.
Haerdle	Härdle, Wolfgang
Haessig	Hässig, Martin
Hagle	Hagle, Paul I.
Haider	Haider, M.
Haigh	Haigh, M.
Hajdin	Hajdin, Rade
Haklay	Haklay, Muki
Halabe	Halabe, Udaya B.
Halas	Halas, Marian
Halatsch	Halatsch, Jan
Haldi	Haldi, Frédéric
Hale	Hale, David
HaleT	Hale, Trevor S.
Hall	Hall, R.
HallM	Hall, Mark
